anisotropy_field,Butera_and_Pernici,Ozkan_et_al,Deserno,Deng_and_Blote,Zierenberg_et_al,Hasenbusch,transition_order
0,3.19622(2),3.20(1),,,,,Second
1,2.877369(3)(1),2.88(1),,,,,Second
1.43474(1),2.7,,,,,,Second
1.5,2.670434(1),,,,,,Second
1.68933856,2.57914(3),,,,,2.5791695,Second
1.83970(1),2.5,,,,,,Second
2,2.407314(1),2.42(1),,,,,Second
2.16568(1),2.3,,,,,,Second
2.2,2.275495(1),2.27(2),,,,,Second
2.4,2.118974(1),2.11(2),,,,,Second
2.42144(1),2.1,,,,,,Second
2.523(6),,,,,2,,Second
2.52513(1),2,,,,,,Second
2.61361(1),1.9,,,,,,Second
2.68752(1),1.8,,,,,,Second
2.74738(1),1.7,,,,,,Second
2.79370(1),1.6,,,,,,Second
2.80,,1.61(5),,,,,Second
2.82,,1.59(4),,,,,Second
2.82693(1),1.5,,,,,,Second
2.83874(1),1.45,,,,,,Second
2.8446(3),,,,,1.4182,,TCP
2.8448(3),1.421(3),,1.4182(55),,,,TCP
2.8477(1),1.403(2),,,1.4019(3),,,TCP
2.8502,0.221(1),,,,,,First
2.890,0.201(1),,,,,,First
2.961,0.152(1),,,,,,First
2.994,0.108(1),,,,,,First
2.998,0.0835(2),,,,,,First
